"","participant_number","orthography_condition","primary_coded","secondary_coded","N_trials"
"1",3,"opaque",102,102,102
"2",6,"opaque",102,102,102
"3",7,"opaque",102,102,102
"4",8,"opaque",102,102,102
"5",9,"opaque",102,102,102
"6",10,"opaque",102,93,102
"7",11,"opaque",102,102,102
"8",12,"opaque",102,102,102
"9",13,"opaque",102,102,102
"10",14,"opaque",102,102,102
"11",15,"opaque",102,97,102
"12",16,"opaque",101,101,102
"13",17,"opaque",102,102,102
"14",18,"opaque",102,102,102
"15",21,"opaque",101,101,102
"16",22,"opaque",101,101,102
"17",23,"opaque",102,102,102
"18",24,"opaque",102,102,102
"19",26,"opaque",81,81,102
"20",27,"opaque",102,102,102
"21",29,"opaque",102,102,102
"22",31,"opaque",102,102,102
"23",32,"opaque",102,102,102
"24",33,"opaque",98,97,102
"25",34,"opaque",102,102,102
"26",44,"opaque",102,102,102
"27",45,"opaque",101,101,102
"28",48,"opaque",102,102,102
"29",50,"opaque",102,102,102
"30",52,"opaque",102,102,102
"31",53,"opaque",102,102,102
"32",55,"opaque",102,102,102
"33",58,"opaque",102,102,102
"34",59,"opaque",102,102,102
"35",65,"opaque",102,101,102
"36",66,"opaque",101,101,102
"37",67,"opaque",102,102,102
"38",68,"opaque",102,102,102
"39",71,"opaque",101,101,101
"40",73,"opaque",102,101,102
"41",75,"opaque",101,101,102
"42",76,"opaque",102,102,102
"43",77,"opaque",102,102,102
"44",78,"opaque",102,102,102
"45",80,"opaque",102,102,102
"46",84,"opaque",102,102,102
"47",88,"opaque",102,102,102
"48",89,"opaque",102,102,102
"49",90,"opaque",102,102,102
"50",91,"opaque",102,102,102
"51",92,"opaque",100,100,102
"52",95,"opaque",102,102,102
"53",97,"opaque",102,102,102
"54",98,"opaque",97,96,102
"55",99,"opaque",102,102,102
"56",100,"opaque",102,102,102
"57",102,"opaque",102,102,102
"58",104,"opaque",102,102,102
"59",105,"opaque",102,102,102
"60",106,"opaque",102,102,102
"61",108,"opaque",102,102,102
"62",111,"opaque",101,101,102
"63",112,"opaque",102,102,102
"64",113,"opaque",102,102,102
"65",114,"opaque",102,102,102
"66",116,"opaque",102,93,102
"67",117,"opaque",102,102,102
"68",119,"opaque",102,0,102
"69",122,"opaque",102,102,102
"70",125,"opaque",101,101,102
"71",126,"opaque",102,102,102
"72",127,"opaque",102,102,102
"73",128,"opaque",102,102,102
"74",130,"opaque",99,96,102
"75",131,"opaque",102,102,102
"76",132,"opaque",102,0,102
"77",133,"opaque",102,102,102
"78",134,"opaque",102,102,102
"79",135,"opaque",102,102,102
"80",136,"opaque",102,102,102
"81",137,"opaque",102,102,102
"82",141,"opaque",102,102,102
"83",145,"opaque",100,98,102
"84",146,"opaque",102,102,102
"85",150,"opaque",102,101,102
"86",151,"opaque",102,102,102
"87",152,"opaque",102,102,102
"88",153,"opaque",102,102,102
"89",155,"opaque",102,102,102
"90",156,"opaque",99,99,102
"91",158,"opaque",102,102,102
"92",160,"opaque",101,101,102
"93",161,"opaque",102,102,102
"94",162,"opaque",101,101,102
"95",163,"opaque",102,102,102
"96",164,"opaque",102,102,102
"97",168,"opaque",102,102,102
"98",170,"opaque",102,102,102
"99",172,"opaque",102,101,102
"100",173,"opaque",102,102,102
"101",175,"opaque",102,102,102
"102",176,"opaque",95,95,102
"103",177,"opaque",102,102,102
"104",178,"opaque",100,100,102
"105",179,"opaque",102,101,102
"106",180,"opaque",102,102,102
"107",182,"opaque",102,101,102
"108",184,"opaque",102,102,102
"109",185,"opaque",102,102,102
"110",186,"opaque",102,102,102
"111",187,"opaque",102,102,102
"112",192,"opaque",102,102,102
